epoch,train_loss,test_loss,auc,f1,top1_acc,top5_acc
1,0.035870711402893066,0.03593850173950195,0.6242877676767677,0.0059271207955407575,0.0239,0.1015
2,0.0340970862865448,0.03351222710609436,0.7434168181818182,0.02551616324751118,0.0506,0.1868
3,0.03210695760726929,0.03152643234729767,0.790226712121212,0.06016764549341582,0.0902,0.2748
4,0.030770300059318544,0.02995498549938202,0.8205784898989898,0.09842957551666517,0.1283,0.3462
5,0.029717909960746764,0.02870597870349884,0.8436763434343435,0.12035070246232149,0.1517,0.401
6,0.02869258327960968,0.027696391320228577,0.8602551515151515,0.15579625099159367,0.1789,0.4392
7,0.027860280690193175,0.0266544851064682,0.8749450101010102,0.1790841909329674,0.2035,0.4771
8,0.027153910398483277,0.02619713361263275,0.8817295353535354,0.1934530228280128,0.2162,0.4857
9,0.026628456864356994,0.02556690318584442,0.8889991616161617,0.21023430602142848,0.2322,0.5092
10,0.02611224792957306,0.025031120109558106,0.8955202979797978,0.22131735377651754,0.24,0.5243
11,0.025720815596580505,0.024534102392196656,0.9005718333333336,0.24157534683999166,0.2589,0.546
12,0.025353442726135253,0.024140281224250795,0.904746515151515,0.2441793954534325,0.2674,0.5542
13,0.025063946962356566,0.02404775116443634,0.9057153181818184,0.25065304971903696,0.2715,0.5585
14,0.024777876443862916,0.02353004400730133,0.9118711616161616,0.26984808032709034,0.284,0.5739
15,0.02452328628540039,0.02332410273551941,0.9135823838383839,0.2678789354080079,0.2864,0.5791
