epoch,train_loss,test_loss,auc,f1,top1_acc,top5_acc
1,0.035827820911407474,0.03518157353401184,0.6808811767676768,0.004417208855989889,0.0285,0.1179
2,0.033342576379776,0.03232096462249756,0.7671121969696969,0.03942034664186519,0.0665,0.2397
3,0.030905619654655457,0.02962281789779663,0.8238508838383838,0.09480867572146513,0.1281,0.3586
4,0.02933874707221985,0.028280803203582762,0.8474266060606062,0.1353133504755585,0.1603,0.4058
5,0.027980702505111695,0.02720295295715332,0.8665690303030305,0.1614976327862671,0.186,0.4464
6,0.026794848256111146,0.025574562048912047,0.8841093838383839,0.19511792076536336,0.2183,0.5016
7,0.025754730005264282,0.025001756882667543,0.8926770404040403,0.2114174227266671,0.2385,0.52
8,0.024953580479621887,0.023907378101348877,0.9029214393939392,0.24168551546028166,0.2639,0.5539
9,0.024255004272460936,0.023598107171058653,0.9072430909090907,0.24578428641319694,0.2698,0.5664
10,0.023676317348480226,0.023119529509544372,0.912278494949495,0.26239335170211914,0.2858,0.58
11,0.023134456129074096,0.022524552631378175,0.9166986616161615,0.2774811927920241,0.2979,0.5964
12,0.022671691884994506,0.02188403172492981,0.9228802626262624,0.30201924647394046,0.3204,0.6151
13,0.022231553230285646,0.0216196085691452,0.925006404040404,0.3027577127870146,0.3219,0.6232
14,0.021888929543495177,0.0212387642621994,0.9286242525252527,0.3113945800024078,0.3309,0.6294
15,0.021509115109443665,0.02119276204109192,0.9291668282828281,0.31371145439226883,0.3315,0.6308
