epoch,train_loss,test_loss,auc,f1,top1_acc,top5_acc
1,0.03598531888008118,0.03622875556945801,0.6425042676767677,0.0005540080470442587,0.0101,0.0636
2,0.03372861865997315,0.03206439163684845,0.7765905757575757,0.04994739103716375,0.0795,0.2531
3,0.030293446850776673,0.029107582950592042,0.8328099494949496,0.10544937676836309,0.1338,0.3775
4,0.02824805217266083,0.027783175206184386,0.8566379393939394,0.14432474587401148,0.1678,0.4202
5,0.026666154675483705,0.027112950134277343,0.8691790050505049,0.16792943904183447,0.1888,0.4432
6,0.02540508295059204,0.025705627608299256,0.8853697070707071,0.2041223751157174,0.2233,0.4928
7,0.024265043439865113,0.025071612572669984,0.8935641161616162,0.21918831236378303,0.2389,0.5159
8,0.0232290101146698,0.024342973566055297,0.9013674242424244,0.22873700400225638,0.2509,0.5368
9,0.022334020175933837,0.02348951826095581,0.9092793989898991,0.25511619964429894,0.2727,0.5649
10,0.021513626317977905,0.022934826111793517,0.914385914141414,0.2711026935096816,0.2864,0.5803
11,0.020758648805618285,0.02265184049606323,0.9169009242424244,0.2819723159621663,0.2964,0.5876
12,0.02006678880214691,0.022037176966667175,0.9223037878787881,0.2966929516959924,0.3098,0.6054
13,0.019431952199935914,0.02193402452468872,0.923840101010101,0.30266864659970827,0.3149,0.6136
14,0.018845120351314543,0.02218246328830719,0.9250312222222221,0.30333294686815526,0.311,0.612
15,0.018360629155635834,0.021883645129203797,0.9271886868686867,0.3146299951874821,0.3257,0.6251
