epoch,train_loss,test_loss,auc,f1,top1_acc,top5_acc
1,0.036068312902450564,0.03642885570526123,0.5,0.00019801980198019803,0.01,0.05
2,0.036065935249328614,0.03642885665893555,0.5,0.00019801980198019803,0.01,0.05
3,0.036065935106277466,0.036428856897354124,0.5,0.00019801980198019803,0.01,0.05
4,0.036065935249328614,0.036428857421875,0.5,0.00019801980198019803,0.01,0.05
5,0.036065935115814206,0.03642885699272156,0.5,0.00019801980198019803,0.01,0.05
6,0.03606593517303467,0.03642885646820068,0.5,0.00019801980198019803,0.01,0.05
7,0.03606593505859375,0.036428857278823855,0.5,0.00019801980198019803,0.01,0.05
8,0.0360659351348877,0.036428856706619266,0.5,0.00019801980198019803,0.01,0.05
9,0.03606593518257141,0.03642885713577271,0.5,0.00019801980198019803,0.01,0.05
10,0.036065935115814206,0.036428856706619266,0.5,0.00019801980198019803,0.01,0.05
11,0.03606593508720398,0.036428857278823855,0.5,0.00019801980198019803,0.01,0.05
12,0.0360659352684021,0.036428856801986695,0.5,0.00019801980198019803,0.01,0.05
13,0.036065935153961184,0.036428856277465824,0.5,0.00019801980198019803,0.01,0.05
14,0.036065935077667234,0.03642885723114014,0.5,0.00019801980198019803,0.01,0.05
15,0.03606593512535095,0.03642885656356812,0.5,0.00019801980198019803,0.01,0.05
