run_id,epoch,train_loss,test_loss,auc,f1,top1_acc,top5_acc
cifar100_ep15_bs128_lr0.01_devicemps,15,0.029661660709381102,0.030012696051597596,0.8127498333333333,0.09764611105964091,0.124,0.3433
cifar100_ep15_bs128_lr0.1_devicemps,13,0.01867486255645752,0.0217754284620285,0.9249819090909089,0.3148535243904869,0.325,0.6239
cifar100_ep15_bs128_lr1_devicemps,1,0.03604285513877869,0.036389818859100344,0.5000489898989899,0.00019801980198019803,0.01,0.05
cifar100_ep15_bs128_lr0.1_devicemps,15,0.017055961899757385,0.02257285671234131,0.9282167070707069,0.31551524947695947,0.3267,0.6299
cifar100_ep15_bs64_lr0.05_devicemps,15,0.03435845244526863,0.04423338444232941,0.9282581717171715,0.3214339012382083,0.331,0.6304
cifar100_ep15_bs32_lr0.025_devicemps,15,0.06496017190694808,0.08443874293565751,0.934899808080808,0.34196826329252333,0.3477,0.6515
cifar100_ep15_bs128_lr0.1_devicemps,14,0.01805383893251419,0.0226419273853302,0.9235006565656565,0.2980442866161127,0.3092,0.6157
cifar100_ep15_bs256_lr0.2_devicemps,15,0.009186310822963714,0.011766587543487549,0.9217536363636364,0.2988866719539287,0.313,0.6118
cifar100_ep15_bs512_lr0.4_devicemps,15,0.006074312753677368,0.006312067079544068,0.8950174545454546,0.21764445818584977,0.2385,0.5203
cifar100_ep15_bs1024_lr0.8_devicemps,2,0.0045876548385620115,0.004592360544204712,0.6252536767676768,0.0020620486510367856,0.0153,0.065
cifar100_ep15_bs128_lr0.1_drop0_devicemps,14,0.017868923330307006,0.022177776718139648,0.9246633535353534,0.3110983963920756,0.3211,0.6158
cifar100_ep15_bs128_lr0.1_drop0.1_devicemps,15,0.019818760223388673,0.020950463223457335,0.9306361818181819,0.32217955774339585,0.3364,0.634
cifar100_ep15_bs128_lr0.1_drop0.2_devicemps,15,0.021522117729187013,0.020884522795677186,0.9298163535353535,0.3272663781335674,0.3437,0.6416
cifar100_ep15_bs128_lr0.1_drop0.3_devicemps,15,0.02291241219520569,0.021644312977790833,0.9259167070707071,0.3096816501389616,0.3258,0.6201
cifar100_ep15_bs128_lr0.1_drop0.4_devicemps,15,0.02452328628540039,0.02332410273551941,0.9135823838383839,0.2678789354080079,0.2864,0.5791
cifar100_ep15_bs128_lr0.1_drop0.2_wd0_devicemps,15,0.021356136088371277,0.02062746419906616,0.9333417474747475,0.32920531155248633,0.3446,0.646
cifar100_ep15_bs128_lr0.1_drop0.2_wd0.0001_devicemps,14,0.021886507148742677,0.021388489389419556,0.928602015151515,0.3117528528001262,0.3305,0.6263
cifar100_ep15_bs128_lr0.1_drop0.2_wd0.001_devicemps,15,0.022251164155006407,0.02140761156082153,0.9259766111111111,0.3064284903424428,0.3237,0.6258
cifar100_ep15_bs128_lr0.1_drop0.2_wd0.01_devicemps,15,0.028309069900512695,0.028231496715545656,0.8552153232323231,0.13113957955573535,0.1606,0.4052
cifar100_ep15_bs128_lr0.1_drop0_wd0_devicemps,15,0.01747250993013382,0.021394802927970885,0.9276984393939395,0.3302990824749839,0.3432,0.6352
cifar100_ep15_bs128_lr0.1_drop0_wd0.0001_devicemps,14,0.01785195465564728,0.02283801519870758,0.9254244090909092,0.29369898829133556,0.3006,0.6051
cifar100_ep15_bs128_lr0.1_drop0_wd0.001_devicemps,15,0.018363309400081636,0.022299839663505554,0.9249592222222222,0.31092072655881187,0.3188,0.6166
cifar100_ep15_bs128_lr0.1_drop0_wd0.01_devicemps,15,0.028096703162193298,0.028674945330619813,0.8476294242424243,0.1336781279103227,0.1545,0.3997
