epoch,train_loss,test_loss,auc,f1,top1_acc,top5_acc
1,0.02918956543445587,0.030775097155570984,0.861690707070707,0.1202444415329412,0.1383,0.3614
2,0.023121330280303956,0.02605795340538025,0.9076049696969697,0.18934731184192402,0.1907,0.4904
3,0.020337639198303222,0.026248605132102965,0.9148186565656564,0.20764394963411248,0.2071,0.5051
4,0.018776565980911254,0.024052264451980592,0.9320552777777779,0.2597981744646259,0.2717,0.5794
5,0.01764137510061264,0.020192566645145415,0.9465714646464646,0.3455299471589608,0.3481,0.6632
6,0.016813835244178774,0.022474277806282042,0.9368860505050505,0.3058770083894568,0.3236,0.6123
7,0.016167998864650725,0.02034926962852478,0.9460200808080808,0.34666613392631085,0.363,0.6595
8,0.01561548238992691,0.02146485503911972,0.9439912929292931,0.33543541556493167,0.3361,0.6446
9,0.015138851628303527,0.019747844791412353,0.951154585858586,0.3629571816506035,0.3673,0.6838
10,0.014780078914165497,0.019528919339179992,0.9528232323232322,0.37127261716919124,0.3794,0.6827
11,0.01438929493188858,0.02106017699241638,0.9460756363636363,0.3549818701929023,0.3659,0.6596
12,0.014134809260368347,0.02305640654563904,0.939167787878788,0.3340719768965393,0.3358,0.6267
13,0.013834811234474182,0.02506088442802429,0.9304639292929292,0.3105629963488968,0.3178,0.5949
14,0.013624807307720184,0.018593742072582246,0.9546030909090909,0.3945402200646926,0.4053,0.7069
15,0.01336987702846527,0.01722616078853607,0.9604646262626262,0.42824144505841416,0.4343,0.7435
16,0.013174929356575013,0.023105893397331236,0.9405792828282828,0.3281742515629453,0.329,0.6268
17,0.012970758073329926,0.01878888895511627,0.9558076060606059,0.3946467017498369,0.4054,0.7059
18,0.012849661328792571,0.019418614149093627,0.9536044747474749,0.3932633991572521,0.4032,0.7011
19,0.012745807015895843,0.017492026567459105,0.9597006060606063,0.4227356423569688,0.4284,0.7353
20,0.012497998995780945,0.017173136866092682,0.9623234242424243,0.4325890773924539,0.4392,0.7453
21,0.012399396181106567,0.017693495273590088,0.9603138282828283,0.4219584176135426,0.4283,0.7321
22,0.012257479732036591,0.017427251291275023,0.9603625252525254,0.4365002111435817,0.4366,0.7404
23,0.012169641993045807,0.018927842020988465,0.9551354444444445,0.4081086446324294,0.4081,0.7188
24,0.012053521921634674,0.01681564973592758,0.963087090909091,0.4452897686715059,0.4469,0.7581
25,0.011969466660022736,0.01732287666797638,0.9614415303030303,0.43719260995582715,0.4409,0.7458
