epoch,train_loss,test_loss,auc,f1,top1_acc,top5_acc
1,0.007465698328018189,0.007253767728805542,0.8581358484848484,0.11304058566654941,0.1492,0.3876
2,0.006291501231193542,0.006501269578933716,0.8984971868686868,0.1765876304027032,0.207,0.4919
3,0.005673919234275818,0.005914525246620179,0.9217121161616162,0.23702778256866305,0.2644,0.5692
4,0.005232032132148743,0.006105370473861694,0.9222935353535352,0.23682099958652625,0.2438,0.5549
5,0.004915842084884644,0.005991701698303223,0.9300912222222222,0.2584381281996702,0.259,0.5634
6,0.004640363340377807,0.005639315128326416,0.9331530606060605,0.28736134012545095,0.2976,0.6092
7,0.004446445212364197,0.007922947239875794,0.8935828989898991,0.1872357980921435,0.196,0.4291
8,0.004273318734169007,0.005227144718170166,0.9447086111111109,0.3397183094960587,0.3443,0.6436
9,0.004128505964279175,0.0050260770320892335,0.9496024848484846,0.3579874738419476,0.3587,0.6678
10,0.0039978160405159,0.0050471219062805175,0.951706287878788,0.3573917696055577,0.3561,0.6687
11,0.003886491711139679,0.004653496456146241,0.9561146111111113,0.407004595226885,0.401,0.7115
12,0.0037928313279151915,0.004577959680557251,0.9576571717171718,0.3971718143154963,0.4048,0.7085
13,0.0036916934633255006,0.004305186998844147,0.9605873838383839,0.42910590431844503,0.4345,0.7398
14,0.0036071868777275084,0.005163511729240417,0.948286797979798,0.3556109084459292,0.3631,0.6584
15,0.0035467462015151977,0.00482496166229248,0.9547523232323233,0.3874757059031605,0.3792,0.6982
