epoch,train_loss,test_loss,auc,f1,top1_acc,top5_acc
1,0.03254013108253479,0.03123867416381836,0.8150590757575759,0.07043913138047793,0.0943,0.2907
2,0.02784966309070587,0.02719364285469055,0.875328196969697,0.1469420465841929,0.1694,0.4451
3,0.02514966561317444,0.026730536103248596,0.886463898989899,0.16458878727421344,0.1785,0.4577
4,0.023098425307273865,0.02702223470211029,0.9021206969696971,0.19157267281455956,0.202,0.4642
5,0.02166456032752991,0.02451307668685913,0.920531191919192,0.2312442464969635,0.2444,0.5436
6,0.02066189875125885,0.02126093487739563,0.9366214797979796,0.2987128233160038,0.3064,0.6385
7,0.019803179187774658,0.020774947118759154,0.939472898989899,0.31330518242852484,0.3215,0.6456
8,0.0191126691865921,0.02282583978176117,0.9329550454545454,0.27066908886455043,0.2771,0.6091
9,0.018627132942676546,0.02180748038291931,0.9365004797979799,0.29765318182614087,0.3024,0.6286
10,0.018120493631362915,0.021841008329391478,0.9365417171717175,0.30365793075821534,0.3161,0.6262
11,0.017697090015411376,0.020036166071891785,0.9473730555555555,0.34084789314104,0.3476,0.6791
12,0.01740586034536362,0.02022692680358887,0.9445740303030302,0.3420753211886587,0.347,0.6663
13,0.017018369064331056,0.02056851420402527,0.944520686868687,0.34958275103611236,0.3402,0.6641
14,0.0167681392788887,0.023903052949905395,0.9309854242424243,0.28382819724936126,0.29,0.5943
15,0.01649885124206543,0.02037147877216339,0.9467086515151515,0.337425798997262,0.3486,0.6679
16,0.016326747593879698,0.019239938259124754,0.9519719595959596,0.3657422560721893,0.3765,0.6971
17,0.01610569055557251,0.02256745777130127,0.9388066060606062,0.3083082695299182,0.3048,0.6281
18,0.015865799896717072,0.023466698360443114,0.9400502474747475,0.29702197059052277,0.3004,0.6187
19,0.015656605155467986,0.023241284775733947,0.9374750404040405,0.3010589033337033,0.3031,0.6156
20,0.015577426040172577,0.022532307410240173,0.9383471616161616,0.3209279691896061,0.3178,0.6331
21,0.015416935386657714,0.022259418725967407,0.9416455454545455,0.31464433830009697,0.324,0.6357
22,0.015280634608268737,0.02234920461177826,0.9377755151515151,0.31557185701496454,0.3154,0.6358
23,0.015130470073223113,0.021088764405250548,0.9469900000000001,0.3494657537145601,0.3538,0.6749
24,0.015074625437259674,0.018413654351234435,0.9563698686868688,0.3998118804011345,0.4038,0.7249
25,0.014930847997665406,0.021876462268829347,0.9437291616161616,0.3388930148698913,0.3466,0.6639
26,0.014825643646717072,0.0216217169046402,0.9463702727272727,0.33851445697873567,0.344,0.6552
27,0.014724167191982268,0.021580182886123657,0.9428692474747474,0.33833682206597865,0.3399,0.6419
28,0.014669439642429352,0.019880066728591918,0.9527877373737375,0.38082240441888293,0.385,0.6972
29,0.014564421882629394,0.018992172348499297,0.9552783535353535,0.3912536967822245,0.3931,0.7181
30,0.014422364490032195,0.02342931170463562,0.9421373434343436,0.32769954585902134,0.3295,0.6459
31,0.014282675457000732,0.030140244722366333,0.9216985404040404,0.24320767288224635,0.2396,0.5226
32,0.014228438353538514,0.01804456214904785,0.9577386717171718,0.41209894229635446,0.4144,0.7354
33,0.014142910838127137,0.019822216391563417,0.9538994797979801,0.3773968912605089,0.3791,0.7033
34,0.01406186811685562,0.0191465984582901,0.9550362575757575,0.3966678984400591,0.3999,0.7166
35,0.013983965487480163,0.020179900979995728,0.9527298585858587,0.38330220412920574,0.3847,0.6998
36,0.013934398036003113,0.021806419897079467,0.9459072020202022,0.34591222863476057,0.3507,0.6562
